"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 11 13:41:54 GMT 2024","Tue Jun 11 13:41:54 GMT 2024","203","","com.qaguru.allure.hw.IssuesLambdaStepsTest","","com.qaguru.allure.hw.IssuesLambdaStepsTest","testLambdaStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Tue Jun 11 13:41:58 GMT 2024","Tue Jun 11 13:41:58 GMT 2024","200","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову pswap выдает результат с текстом Polkaswap",""
"broken","Tue Jun 11 13:41:57 GMT 2024","Tue Jun 11 13:41:57 GMT 2024","202","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Dutch текст заголовка - Tokens",""
"passed","Tue Jun 11 13:43:08 GMT 2024","Tue Jun 11 13:43:10 GMT 2024","2968","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","herokuappTest","herokuappTest()",""
"broken","Tue Jun 11 13:41:58 GMT 2024","Tue Jun 11 13:41:58 GMT 2024","207","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову eth выдает результат с текстом Ether",""
"failed","Tue Jun 11 13:42:53 GMT 2024","Tue Jun 11 13:43:08 GMT 2024","14581","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","guthubTest","guthubTest()",""
"passed","Tue Jun 11 13:43:12 GMT 2024","Tue Jun 11 13:43:14 GMT 2024","1778","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [2] EN",""
"broken","Tue Jun 11 13:41:56 GMT 2024","Tue Jun 11 13:41:56 GMT 2024","205","","com.qaguru.tests.GithubSelenideTests","","com.qaguru.tests.GithubSelenideTests","successTest","successTest()",""
"broken","Tue Jun 11 13:41:53 GMT 2024","Tue Jun 11 13:41:53 GMT 2024","238","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"broken","Tue Jun 11 13:42:53 GMT 2024","Tue Jun 11 13:42:53 GMT 2024","402","","com.qaguru.tests.RegistrationWithTestDataTests","","com.qaguru.tests.RegistrationWithTestDataTests","successTest","successTest()",""
"broken","Tue Jun 11 13:41:55 GMT 2024","Tue Jun 11 13:41:55 GMT 2024","209","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchPhotoResultsShouldNotBeEmpty","Не пустой список фото в поисковом запросе 'selenide'",""
"passed","Tue Jun 11 13:43:40 GMT 2024","Tue Jun 11 13:43:46 GMT 2024","6026","","com.qaguru.tests.TextboxPageObjectsTests","","com.qaguru.tests.TextboxPageObjectsTests","successTest","successTest()",""
