"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 15:00:26 GMT 2024","Mon Apr 22 15:00:27 GMT 2024","358","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен val",""
"passed","Mon Apr 22 14:59:57 GMT 2024","Mon Apr 22 14:59:58 GMT 2024","1120","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Mon Apr 22 14:59:58 GMT 2024","Mon Apr 22 14:59:58 GMT 2024","1","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя31",""
"passed","Mon Apr 22 15:00:04 GMT 2024","Mon Apr 22 15:00:07 GMT 2024","3452","","com.qaguru.allure.StepsTest","","com.qaguru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Mon Apr 22 15:00:27 GMT 2024","Mon Apr 22 15:00:28 GMT 2024","764","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке English текст заголовка - Tokens",""
"passed","Mon Apr 22 14:59:58 GMT 2024","Mon Apr 22 14:59:58 GMT 2024","1","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Mon Apr 22 14:59:54 GMT 2024","Mon Apr 22 14:59:55 GMT 2024","3","","com.example.DemoJUitTest","","com.example.DemoJUitTest","FirstTest","FirstTest()",""
"failed","Mon Apr 22 15:00:55 GMT 2024","Mon Apr 22 15:01:01 GMT 2024","6078","","com.qaguru.tests.TextboxTests","","com.qaguru.tests.TextboxTests","successTest","successTest()",""
"passed","Mon Apr 22 15:00:29 GMT 2024","Mon Apr 22 15:00:30 GMT 2024","887","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Dutch текст заголовка - Tokens",""
"passed","Mon Apr 22 15:00:28 GMT 2024","Mon Apr 22 15:00:29 GMT 2024","1260","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Armenian текст заголовка - Նշաններ",""
"passed","Mon Apr 22 15:00:51 GMT 2024","Mon Apr 22 15:00:54 GMT 2024","2346","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
"passed","Mon Apr 22 15:00:30 GMT 2024","Mon Apr 22 15:00:31 GMT 2024","913","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
