"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 17 16:04:35 GMT 2024","Mon Jun 17 16:04:35 GMT 2024","208","","com.qaguru.allure.StepsTest","","com.qaguru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Mon Jun 17 16:07:04 GMT 2024","Mon Jun 17 16:07:06 GMT 2024","2259","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"broken","Mon Jun 17 16:04:38 GMT 2024","Mon Jun 17 16:04:38 GMT 2024","205","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
"broken","Mon Jun 17 16:04:35 GMT 2024","Mon Jun 17 16:04:35 GMT 2024","207","","com.qaguru.allure.StepsTest","","com.qaguru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"broken","Mon Jun 17 16:04:35 GMT 2024","Mon Jun 17 16:04:35 GMT 2024","206","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","testAnnotatedStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Mon Jun 17 16:04:39 GMT 2024","Mon Jun 17 16:04:39 GMT 2024","205","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову pswap выдает результат с текстом Polkaswap",""
"broken","Mon Jun 17 16:04:36 GMT 2024","Mon Jun 17 16:04:37 GMT 2024","211","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldContainExpectedUrl","searchResultsShouldContainExpectedUrl(String, String) Должна быть ссылка https://selenide.org в результатах поискового запроса Selenide",""
"failed","Mon Jun 17 16:07:06 GMT 2024","Mon Jun 17 16:07:31 GMT 2024","24520","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
"broken","Mon Jun 17 16:04:36 GMT 2024","Mon Jun 17 16:04:36 GMT 2024","218","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе JUnit 5",""
"broken","Mon Jun 17 16:04:37 GMT 2024","Mon Jun 17 16:04:37 GMT 2024","211","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldContainExpectedUrl","searchResultsShouldContainExpectedUrl(String, String) Должна быть ссылка https://junit.org в результатах поискового запроса JUnit 5",""
