"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 11 13:32:33 GMT 2024","Tue Jun 11 13:32:34 GMT 2024","207","","com.qaguru.tests.GithubSelenideTests","","com.qaguru.tests.GithubSelenideTests","successTest","successTest()",""
"broken","Tue Jun 11 13:32:32 GMT 2024","Tue Jun 11 13:32:32 GMT 2024","213","","com.qaguru.allure.hw.IssuesLambdaStepsTest","","com.qaguru.allure.hw.IssuesLambdaStepsTest","testLambdaStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Tue Jun 11 13:32:35 GMT 2024","Tue Jun 11 13:32:35 GMT 2024","207","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову val выдает результат с текстом SORA Validator Token",""
"broken","Tue Jun 11 13:32:31 GMT 2024","Tue Jun 11 13:32:31 GMT 2024","213","","com.qaguru.allure.SelenideTest","","com.qaguru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"failed","Tue Jun 11 13:34:57 GMT 2024","Tue Jun 11 13:35:15 GMT 2024","18600","","com.qaguru.tests.TextboxTests","","com.qaguru.tests.TextboxTests","successTest","successTest()",""
"passed","Tue Jun 11 13:33:58 GMT 2024","Tue Jun 11 13:34:01 GMT 2024","3678","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","herokuappTest","herokuappTest()",""
"failed","Tue Jun 11 13:32:44 GMT 2024","Tue Jun 11 13:33:12 GMT 2024","28650","","com.qaguru.tests.RegistrationWithFakerTests","","com.qaguru.tests.RegistrationWithFakerTests","successTest","successTest()",""
"broken","Tue Jun 11 13:32:36 GMT 2024","Tue Jun 11 13:32:43 GMT 2024","6854","","com.qaguru.tests.RegistrationPageObjectsTests","","com.qaguru.tests.RegistrationPageObjectsTests","successTest","successTest()",""
"broken","Tue Jun 11 13:32:34 GMT 2024","Tue Jun 11 13:32:34 GMT 2024","207","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен val",""
"failed","Tue Jun 11 13:33:42 GMT 2024","Tue Jun 11 13:33:58 GMT 2024","15752","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","guthubTest","guthubTest()",""
