"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 17 16:18:34 GMT 2024","Mon Jun 17 16:18:36 GMT 2024","1762","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [1] RU",""
"failed","Mon Jun 17 16:18:17 GMT 2024","Mon Jun 17 16:18:32 GMT 2024","14822","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","guthubTest","guthubTest()",""
"failed","Mon Jun 17 16:17:15 GMT 2024","Mon Jun 17 16:17:38 GMT 2024","23197","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","successTest","successTest()",""
"passed","Mon Jun 17 16:16:14 GMT 2024","Mon Jun 17 16:16:14 GMT 2024","4","","com.example.DemoJUitTest","","com.example.DemoJUitTest","FirstTest","FirstTest()",""
"passed","Mon Jun 17 16:17:38 GMT 2024","Mon Jun 17 16:17:54 GMT 2024","15796","","com.qaguru.tests.RegistrationWithFakerTests","","com.qaguru.tests.RegistrationWithFakerTests","successTest","successTest()",""
"broken","Mon Jun 17 16:16:19 GMT 2024","Mon Jun 17 16:16:19 GMT 2024","202","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Dutch текст заголовка - Tokens",""
"broken","Mon Jun 17 16:16:17 GMT 2024","Mon Jun 17 16:16:17 GMT 2024","217","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе selenide",""
"broken","Mon Jun 17 16:16:19 GMT 2024","Mon Jun 17 16:16:19 GMT 2024","201","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
"broken","Mon Jun 17 16:16:19 GMT 2024","Mon Jun 17 16:16:19 GMT 2024","202","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову val выдает результат с текстом SORA Validator Token",""
"broken","Mon Jun 17 16:16:20 GMT 2024","Mon Jun 17 16:16:20 GMT 2024","203","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову XSTUSD выдает результат с текстом SORA Synthetic USD",""
"broken","Mon Jun 17 16:16:14 GMT 2024","Mon Jun 17 16:16:15 GMT 2024","1186","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"failed","Mon Jun 17 16:17:54 GMT 2024","Mon Jun 17 16:18:17 GMT 2024","22890","","com.qaguru.tests.RegistrationWithTestDataTests","","com.qaguru.tests.RegistrationWithTestDataTests","successTest","successTest()",""
"broken","Mon Jun 17 16:16:18 GMT 2024","Mon Jun 17 16:16:19 GMT 2024","200","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке English текст заголовка - Tokens",""
"failed","Mon Jun 17 16:19:11 GMT 2024","Mon Jun 17 16:19:27 GMT 2024","16033","","com.qaguru.tests.TextboxTests","","com.qaguru.tests.TextboxTests","successTest","successTest()",""
"passed","Mon Jun 17 16:16:15 GMT 2024","Mon Jun 17 16:16:15 GMT 2024","0","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя31",""
"passed","Mon Jun 17 16:18:40 GMT 2024","Mon Jun 17 16:18:55 GMT 2024","15352","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
"passed","Mon Jun 17 16:18:38 GMT 2024","Mon Jun 17 16:18:40 GMT 2024","1969","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Mon Jun 17 16:16:15 GMT 2024","Mon Jun 17 16:16:15 GMT 2024","2","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Mon Jun 17 16:16:14 GMT 2024","Mon Jun 17 16:16:14 GMT 2024","37","","com.example.DemoJUitTest","","com.example.DemoJUitTest","SecondTest","SecondTest()",""
"broken","Mon Jun 17 16:16:15 GMT 2024","Mon Jun 17 16:16:15 GMT 2024","208","","com.qaguru.allure.SelenideTest","","com.qaguru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"failed","Mon Jun 17 16:18:55 GMT 2024","Mon Jun 17 16:19:11 GMT 2024","16441","","com.qaguru.tests.TextboxPageObjectsTests","","com.qaguru.tests.TextboxPageObjectsTests","successTest","successTest()",""
