"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 11 13:41:16 GMT 2024","Tue Jun 11 13:41:33 GMT 2024","16397","","com.qaguru.tests.TextboxPageObjectsTests","","com.qaguru.tests.TextboxPageObjectsTests","successTest","successTest()",""
"passed","Tue Jun 11 13:38:46 GMT 2024","Tue Jun 11 13:38:46 GMT 2024","5","","com.example.DemoJUitTest","","com.example.DemoJUitTest","FirstTest","FirstTest()",""
"passed","Tue Jun 11 13:40:49 GMT 2024","Tue Jun 11 13:40:51 GMT 2024","1646","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [1] RU",""
"broken","Tue Jun 11 13:38:53 GMT 2024","Tue Jun 11 13:38:53 GMT 2024","218","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе JUnit 5",""
"passed","Tue Jun 11 13:40:51 GMT 2024","Tue Jun 11 13:40:52 GMT 2024","1624","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [2] EN",""
"passed","Tue Jun 11 13:40:52 GMT 2024","Tue Jun 11 13:40:54 GMT 2024","1865","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"broken","Tue Jun 11 13:38:54 GMT 2024","Tue Jun 11 13:38:54 GMT 2024","212","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен val",""
"broken","Tue Jun 11 13:38:53 GMT 2024","Tue Jun 11 13:38:53 GMT 2024","224","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе selenide",""
"failed","Tue Jun 11 13:39:27 GMT 2024","Tue Jun 11 13:39:49 GMT 2024","21839","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","successTest","successTest()",""
"broken","Tue Jun 11 13:38:52 GMT 2024","Tue Jun 11 13:38:52 GMT 2024","205","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","testAnnotatedStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
