"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 14:42:05 GMT 2024","Mon Apr 22 14:42:06 GMT 2024","1175","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Dutch текст заголовка - Tokens",""
"passed","Mon Apr 22 14:42:43 GMT 2024","Mon Apr 22 14:42:46 GMT 2024","2892","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
"passed","Mon Apr 22 14:42:02 GMT 2024","Mon Apr 22 14:42:02 GMT 2024","386","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен val",""
"passed","Mon Apr 22 14:42:06 GMT 2024","Mon Apr 22 14:42:07 GMT 2024","1107","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
"passed","Mon Apr 22 14:42:03 GMT 2024","Mon Apr 22 14:42:03 GMT 2024","779","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке English текст заголовка - Tokens",""
"failed","Mon Apr 22 14:41:32 GMT 2024","Mon Apr 22 14:41:37 GMT 2024","5669","","com.qaguru.allure.SelenideTest","","com.qaguru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Mon Apr 22 14:41:31 GMT 2024","Mon Apr 22 14:41:32 GMT 2024","1098","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Mon Apr 22 14:41:49 GMT 2024","Mon Apr 22 14:41:51 GMT 2024","1925","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе selenide",""
"passed","Mon Apr 22 14:42:07 GMT 2024","Mon Apr 22 14:42:07 GMT 2024","208","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову val выдает результат с текстом SORA Validator Token",""
"failed","Mon Apr 22 14:42:29 GMT 2024","Mon Apr 22 14:42:35 GMT 2024","6461","","com.qaguru.tests.RegistrationWithTestDataTests","","com.qaguru.tests.RegistrationWithTestDataTests","successTest","successTest()",""
"passed","Mon Apr 22 14:42:08 GMT 2024","Mon Apr 22 14:42:20 GMT 2024","11468","","com.qaguru.tests.RegistrationPageObjectsTests","","com.qaguru.tests.RegistrationPageObjectsTests","successTest","successTest()",""
"passed","Mon Apr 22 14:41:28 GMT 2024","Mon Apr 22 14:41:28 GMT 2024","2","","com.example.DemoJUitTest","","com.example.DemoJUitTest","FirstTest","FirstTest()",""
"passed","Mon Apr 22 14:42:46 GMT 2024","Mon Apr 22 14:42:47 GMT 2024","1252","","com.qaguru.tests.TextboxPageObjectsTests","","com.qaguru.tests.TextboxPageObjectsTests","successTest","successTest()",""
"failed","Mon Apr 22 14:42:23 GMT 2024","Mon Apr 22 14:42:29 GMT 2024","6284","","com.qaguru.tests.RegistrationWithFakerTests","","com.qaguru.tests.RegistrationWithFakerTests","successTest","successTest()",""
"passed","Mon Apr 22 14:42:42 GMT 2024","Mon Apr 22 14:42:43 GMT 2024","514","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [2] EN",""
"passed","Mon Apr 22 14:42:02 GMT 2024","Mon Apr 22 14:42:03 GMT 2024","258","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен pswap",""
