"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 11 13:05:40 GMT 2024","Tue Jun 11 13:05:41 GMT 2024","342","","com.qaguru.tests.RegistrationWithFakerTests","","com.qaguru.tests.RegistrationWithFakerTests","successTest","successTest()",""
"broken","Tue Jun 11 13:05:32 GMT 2024","Tue Jun 11 13:05:32 GMT 2024","412","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"broken","Tue Jun 11 13:05:41 GMT 2024","Tue Jun 11 13:05:41 GMT 2024","306","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","guthubTest","guthubTest()",""
"broken","Tue Jun 11 13:05:35 GMT 2024","Tue Jun 11 13:05:36 GMT 2024","309","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldContainExpectedUrl","searchResultsShouldContainExpectedUrl(String, String) Должна быть ссылка https://junit.org в результатах поискового запроса JUnit 5",""
"broken","Tue Jun 11 13:05:43 GMT 2024","Tue Jun 11 13:05:43 GMT 2024","305","","com.qaguru.tests.TextboxPageObjectsTests","","com.qaguru.tests.TextboxPageObjectsTests","successTest","successTest()",""
"broken","Tue Jun 11 13:05:38 GMT 2024","Tue Jun 11 13:05:38 GMT 2024","307","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
"broken","Tue Jun 11 13:05:34 GMT 2024","Tue Jun 11 13:05:34 GMT 2024","307","","com.qaguru.allure.hw.IssuesSelenideTest","","com.qaguru.allure.hw.IssuesSelenideTest","testIssueSearch","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"passed","Tue Jun 11 13:05:32 GMT 2024","Tue Jun 11 13:05:32 GMT 2024","2","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"broken","Tue Jun 11 13:05:42 GMT 2024","Tue Jun 11 13:05:43 GMT 2024","307","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"broken","Tue Jun 11 13:05:33 GMT 2024","Tue Jun 11 13:05:34 GMT 2024","308","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","testAnnotatedStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Tue Jun 11 13:05:41 GMT 2024","Tue Jun 11 13:05:41 GMT 2024","308","","com.qaguru.tests.RegistrationWithTestDataTests","","com.qaguru.tests.RegistrationWithTestDataTests","successTest","successTest()",""
