"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 11 13:27:14 GMT 2024","Tue Jun 11 13:27:14 GMT 2024","212","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldContainExpectedUrl","searchResultsShouldContainExpectedUrl(String, String) Должна быть ссылка https://junit.org в результатах поискового запроса JUnit 5",""
"broken","Tue Jun 11 13:27:13 GMT 2024","Tue Jun 11 13:27:13 GMT 2024","205","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","testAnnotatedStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Tue Jun 11 13:27:17 GMT 2024","Tue Jun 11 13:27:17 GMT 2024","210","","com.qaguru.tests.RegistrationPageObjectsTests","","com.qaguru.tests.RegistrationPageObjectsTests","successTest","successTest()",""
"broken","Tue Jun 11 13:27:12 GMT 2024","Tue Jun 11 13:27:12 GMT 2024","209","","com.qaguru.allure.SelenideTest","","com.qaguru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Jun 11 13:27:12 GMT 2024","Tue Jun 11 13:27:12 GMT 2024","1","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"broken","Tue Jun 11 13:27:13 GMT 2024","Tue Jun 11 13:27:14 GMT 2024","211","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchPhotoResultsShouldNotBeEmpty","Не пустой список фото в поисковом запросе 'selenide'",""
"broken","Tue Jun 11 13:27:16 GMT 2024","Tue Jun 11 13:27:17 GMT 2024","205","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову eth выдает результат с текстом Ether",""
"broken","Tue Jun 11 13:27:17 GMT 2024","Tue Jun 11 13:27:18 GMT 2024","469","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","successTest","successTest()",""
"broken","Tue Jun 11 13:27:20 GMT 2024","Tue Jun 11 13:27:20 GMT 2024","205","","com.qaguru.tests.TextboxTests","","com.qaguru.tests.TextboxTests","successTest","successTest()",""
"broken","Tue Jun 11 13:27:14 GMT 2024","Tue Jun 11 13:27:14 GMT 2024","234","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldContainExpectedUrl","searchResultsShouldContainExpectedUrl(String, String) Должна быть ссылка https://selenide.org в результатах поискового запроса Selenide",""
