"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 17 15:55:36 GMT 2024","Mon Jun 17 15:55:36 GMT 2024","252","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"broken","Mon Jun 17 15:55:40 GMT 2024","Mon Jun 17 15:55:41 GMT 2024","203","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
"broken","Mon Jun 17 15:55:41 GMT 2024","Mon Jun 17 15:55:41 GMT 2024","204","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову eth выдает результат с текстом Ether",""
"broken","Mon Jun 17 15:55:38 GMT 2024","Mon Jun 17 15:55:38 GMT 2024","216","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе selenide",""
"passed","Mon Jun 17 15:56:50 GMT 2024","Mon Jun 17 15:57:19 GMT 2024","28737","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","successTest","successTest()",""
"passed","Mon Jun 17 15:58:41 GMT 2024","Mon Jun 17 15:58:44 GMT 2024","3133","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"broken","Mon Jun 17 15:55:37 GMT 2024","Mon Jun 17 15:55:37 GMT 2024","204","","com.qaguru.allure.hw.IssuesLambdaStepsTest","","com.qaguru.allure.hw.IssuesLambdaStepsTest","testLambdaStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"passed","Mon Jun 17 15:55:36 GMT 2024","Mon Jun 17 15:55:36 GMT 2024","1","","com.qaguru.allure.LabelsTest","","com.qaguru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя31",""
"passed","Mon Jun 17 15:58:44 GMT 2024","Mon Jun 17 15:59:08 GMT 2024","24102","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
"passed","Mon Jun 17 15:57:45 GMT 2024","Mon Jun 17 15:58:11 GMT 2024","25425","","com.qaguru.tests.RegistrationWithTestDataTests","","com.qaguru.tests.RegistrationWithTestDataTests","successTest","successTest()",""
