"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 16:24:00 GMT 2024","Thu Apr 25 16:24:01 GMT 2024","1196","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Armenian текст заголовка - Նշաններ",""
"passed","Thu Apr 25 16:24:03 GMT 2024","Thu Apr 25 16:24:03 GMT 2024","230","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову val выдает результат с текстом SORA Validator Token",""
"passed","Thu Apr 25 16:24:08 GMT 2024","Thu Apr 25 16:24:11 GMT 2024","2801","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","","com.qaguru.tests.RegistrationPageObjectsWithFakerTests","successTest","successTest()",""
"passed","Thu Apr 25 16:23:59 GMT 2024","Thu Apr 25 16:23:59 GMT 2024","282","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен pswap",""
"passed","Thu Apr 25 16:23:36 GMT 2024","Thu Apr 25 16:23:38 GMT 2024","2169","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","","com.qaguru.allure.hw.IssueAnnotatedStepsTest","testAnnotatedStep","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"passed","Thu Apr 25 16:23:21 GMT 2024","Thu Apr 25 16:23:21 GMT 2024","3","","com.example.DemoJUitTest","","com.example.DemoJUitTest","FirstTest","FirstTest()",""
"passed","Thu Apr 25 16:23:52 GMT 2024","Thu Apr 25 16:23:54 GMT 2024","2613","","com.qaguru.tests.GithubSelenideTests","","com.qaguru.tests.GithubSelenideTests","successTest","successTest()",""
"passed","Thu Apr 25 16:23:21 GMT 2024","Thu Apr 25 16:23:21 GMT 2024","33","","com.example.DemoJUitTest","","com.example.DemoJUitTest","SecondTest","SecondTest()",""
"failed","Thu Apr 25 16:23:24 GMT 2024","Thu Apr 25 16:23:30 GMT 2024","5916","","com.qaguru.allure.SelenideTest","","com.qaguru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Thu Apr 25 16:24:28 GMT 2024","Thu Apr 25 16:24:29 GMT 2024","1222","","com.qaguru.tests.TextboxTests","","com.qaguru.tests.TextboxTests","successTest","successTest()",""
"passed","Thu Apr 25 16:24:04 GMT 2024","Thu Apr 25 16:24:04 GMT 2024","244","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову pswap выдает результат с текстом Polkaswap",""
"passed","Thu Apr 25 16:23:30 GMT 2024","Thu Apr 25 16:23:34 GMT 2024","3351","","com.qaguru.allure.StepsTest","","com.qaguru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Thu Apr 25 16:23:47 GMT 2024","Thu Apr 25 16:23:49 GMT 2024","1357","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе JUnit 5",""
"passed","Thu Apr 25 16:23:58 GMT 2024","Thu Apr 25 16:23:59 GMT 2024","334","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен val",""
"passed","Thu Apr 25 16:23:54 GMT 2024","Thu Apr 25 16:23:58 GMT 2024","3961","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","noSyntheticsInSearchResults","noSyntheticsInSearchResults(String) При переключении ползунка Show only synthetic tokens в результатах не отображается токен xor",""
"passed","Thu Apr 25 16:23:59 GMT 2024","Thu Apr 25 16:24:00 GMT 2024","700","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке English текст заголовка - Tokens",""
"passed","Thu Apr 25 16:24:23 GMT 2024","Thu Apr 25 16:24:24 GMT 2024","309","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Thu Apr 25 16:24:11 GMT 2024","Thu Apr 25 16:24:13 GMT 2024","2360","","com.qaguru.tests.RegistrationWithFakerTests","","com.qaguru.tests.RegistrationWithFakerTests","successTest","successTest()",""
"passed","Thu Apr 25 16:23:43 GMT 2024","Thu Apr 25 16:23:46 GMT 2024","2680","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchPhotoResultsShouldNotBeEmpty","Не пустой список фото в поисковом запросе 'selenide'",""
"passed","Thu Apr 25 16:23:23 GMT 2024","Thu Apr 25 16:23:24 GMT 2024","1110","","com.qaguru.allure.AttachmentsTest","","com.qaguru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Thu Apr 25 16:24:24 GMT 2024","Thu Apr 25 16:24:27 GMT 2024","3030","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
