"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 17 16:08:33 GMT 2024","Mon Jun 17 16:08:34 GMT 2024","208","","com.qaguru.tests.GithubSelenideTests","","com.qaguru.tests.GithubSelenideTests","successTest","successTest()",""
"failed","Mon Jun 17 16:09:47 GMT 2024","Mon Jun 17 16:10:10 GMT 2024","23211","","com.qaguru.tests.RegistrationWithFakerTests","","com.qaguru.tests.RegistrationWithFakerTests","successTest","successTest()",""
"broken","Mon Jun 17 16:08:31 GMT 2024","Mon Jun 17 16:08:32 GMT 2024","205","","com.qaguru.allure.StepsTest","","com.qaguru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"broken","Mon Jun 17 16:08:32 GMT 2024","Mon Jun 17 16:08:32 GMT 2024","205","","com.qaguru.allure.hw.IssuesSelenideTest","","com.qaguru.allure.hw.IssuesSelenideTest","testIssueSearch","Проверить, что в репозитории есть  'Issue_created_to_test_allure_reports'",""
"broken","Mon Jun 17 16:08:33 GMT 2024","Mon Jun 17 16:08:33 GMT 2024","218","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе selenide",""
"broken","Mon Jun 17 16:08:33 GMT 2024","Mon Jun 17 16:08:33 GMT 2024","212","","com.qaguru.tests.DuckDuckGoWebTest","","com.qaguru.tests.DuckDuckGoWebTest","searchResultsShouldNotBeEmpty","searchResultsShouldNotBeEmpty(String) Не пустой список карточек в поисковом запросе JUnit 5",""
"passed","Mon Jun 17 16:10:40 GMT 2024","Mon Jun 17 16:10:43 GMT 2024","2743","","com.qaguru.tests.SelenideTests2","","com.qaguru.tests.SelenideTests2","herokuappTest","herokuappTest()",""
"passed","Mon Jun 17 16:10:47 GMT 2024","Mon Jun 17 16:10:49 GMT 2024","1988","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldDisplayCorrectButtons","selenideSideShouldDisplayCorrectButtons(Language, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"broken","Mon Jun 17 16:08:35 GMT 2024","Mon Jun 17 16:08:35 GMT 2024","203","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке Dutch текст заголовка - Tokens",""
"broken","Mon Jun 17 16:08:36 GMT 2024","Mon Jun 17 16:08:36 GMT 2024","201","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","searchResultsShouldContainExpectedTokenName","searchResultsShouldContainExpectedTokenName(String, String) При поиске по слову XSTUSD выдает результат с текстом SORA Synthetic USD",""
"passed","Mon Jun 17 16:10:43 GMT 2024","Mon Jun 17 16:10:45 GMT 2024","2283","","com.qaguru.tests.SelenideWebTest","","com.qaguru.tests.SelenideWebTest","selenideSideShouldContainCorrectText","selenideSideShouldContainCorrectText(Language) [1] RU",""
"passed","Mon Jun 17 16:10:10 GMT 2024","Mon Jun 17 16:10:26 GMT 2024","15652","","com.qaguru.tests.RegistrationWithTestDataTests","","com.qaguru.tests.RegistrationWithTestDataTests","successTest","successTest()",""
"passed","Mon Jun 17 16:10:49 GMT 2024","Mon Jun 17 16:11:04 GMT 2024","15340","","com.qaguru.tests.StudentRegistrationTests","","com.qaguru.tests.StudentRegistrationTests","successTest","successTest()",""
"broken","Mon Jun 17 16:08:35 GMT 2024","Mon Jun 17 16:08:35 GMT 2024","202","","com.qaguru.tests.PolkaswapWebTest","","com.qaguru.tests.PolkaswapWebTest","checkTranslationOfHeader","checkTranslationOfHeader(String, String) При установленном языке French текст заголовка - Jetons",""
"failed","Mon Jun 17 16:11:04 GMT 2024","Mon Jun 17 16:11:21 GMT 2024","16573","","com.qaguru.tests.TextboxPageObjectsTests","","com.qaguru.tests.TextboxPageObjectsTests","successTest","successTest()",""
